id,population,jobs,schools
89a88cdb1abffff,1264,438,1
89a88cda2cfffff,1915,238,0
89a881a5a6fffff,298,11,0
89a88cdb1c7ffff,737,1771,0
89a88cd940fffff,1927,250,0
89a88cd942bffff,1083,201,0
89a88cd9447ffff,1093,48,0
89a88cdb21bffff,1639,95,0
89a88cd9463ffff,18,0,0
89a88cdb237ffff,378,414,0
89a88cdb253ffff,1441,121,0
89a88cd949bffff,1433,723,1
89a88cdb26fffff,1131,81,0
89a88cd94b7ffff,1119,391,0
89a881a5b33ffff,2317,109,0
89a88cdb28bffff,2221,68,0
89a88cd85dbffff,900,66,1
89a88cd94d3ffff,1234,181,1
89a881a5b4fffff,672,896,0
89a88cdb2a7ffff,57,1076,1
89a88cda3cbffff,1121,37,0
89a881a5b6bffff,260,2979,0
89a88cdb2c3ffff,1003,26,0
89a88cd8613ffff,1160,651,0
89a88cd950bffff,929,245,0
89a88cd862fffff,362,1147,0
89a88cd9527ffff,1432,91,0
89a88cd864bffff,1018,117,0
89a88cd9543ffff,1391,1322,0
89a88cdb317ffff,320,1143,0
89a88cd8667ffff,1587,10,0
89a881ae967ffff,66,0,0
89a88cdb333ffff,709,834,0
89a88cd8683ffff,991,1351,0
89a88cd957bffff,1271,242,2
89a88cdb34fffff,1528,285,0
89a88cd9597ffff,1151,383,0
89a88cdb36bffff,1086,2191,1
89a88cd86bbffff,850,1155,0
89a88cd95b3ffff,566,1099,0
89a88cdb387ffff,982,2097,0
89a88cd86d7ffff,821,554,0
89a88cd95cfffff,1611,279,0
89a88cdb3a3ffff,1201,483,0
89a88cd9607ffff,1596,13,0
89a88cdb3dbffff,51,438,0
89a88cdb413ffff,28,0,0
89a88cd8003ffff,416,1,0
89a88cdb42fffff,2377,121,0
89a88cdb44bffff,640,401,0
89a88cd9693ffff,879,85,0
89a88cdb467ffff,1634,27,0
89a88cd96afffff,1437,142,0
89a88cd8057ffff,29,40,0
89a88cdb483ffff,264,315,0
89a88cd8073ffff,44,443,0
89a88cd808fffff,846,6,0
89a88cdb4bbffff,866,478,0
89a881acd37ffff,1874,75,1
89a88cdb4d7ffff,341,7,0
89a881aeb27ffff,0,0,0
89a88cd80c7ffff,80,30,0
89a881acd6fffff,6,0,0
89a88cdb50fffff,1928,207,2
89a88cdb52bffff,1898,136,0
89a88cda64fffff,2231,38,0
89a881acda7ffff,2358,164,1
89a88cdb547ffff,1312,2839,0
89a88cda66bffff,1228,94,0
89a88cd9013ffff,955,84,1
89a88cdb563ffff,2334,440,0
89a88cdb59bffff,977,8,0
89a88cdb5b7ffff,1986,21,0
89a88cd9083ffff,1339,176,0
89a88cdb5d3ffff,145,169,0
89a88cd90bbffff,1856,228,0
89a88cdb60bffff,191,319,0
89a88cd90d7ffff,92,0,0
89a88cdb627ffff,1281,1770,0
89a88cd8217ffff,500,604,0
89a88cdb643ffff,0,0,0
89a88cd8233ffff,0,0,0
89a88cd824fffff,975,81,0
89a88cdb67bffff,1782,240,0
89a88cdb697ffff,57,16,0
89a88cd8287ffff,212,1005,0
89a88cdb6b3ffff,2038,1304,0
89a88cd82a3ffff,0,0,0
89a88cdb6cfffff,109,0,0
89a88cd919bffff,1446,129,0
89a88cd91b7ffff,1266,672,1
89a88cd82dbffff,669,165,0
89a88cd91d3ffff,2254,287,0
89a88cdb017ffff,1466,2911,1
89a88cdb033ffff,1806,1280,0
89a88cdb04fffff,1296,2409,0
89a88cdb06bffff,1260,6587,0
89a88cdb087ffff,1933,331,0
89a881ac903ffff,1436,49,0
89a88cdb0a3ffff,329,1826,0
89a88cd840fffff,998,431,0
89a881ac93bffff,1177,47,0
89a88cdb0dbffff,1426,475,0
89a88cd842bffff,342,351,0
89a881ac957ffff,2275,49,0
89a88cd8447ffff,1513,74,0
89a88cda21bffff,1953,30,0
89a881ac973ffff,1972,101,0
89a88cdb113ffff,1279,448,0
89a88cd8463ffff,2346,99,0
89a88cda237ffff,479,11,0
89a881ac98fffff,695,211,2
89a88cdb12fffff,1333,532,1
89a88cda253ffff,2021,476,0
89a881ac9abffff,1294,23,0
89a88cdb14bffff,956,2275,0
89a88cd849bffff,665,146,2
89a88cda26fffff,598,247,0
89a881ac9c7ffff,524,72,0
89a88cdb167ffff,1907,96,0
89a88cd84b7ffff,716,196,0
89a88cda28bffff,1295,351,0
89a881a5a2bffff,439,180,0
89a88cdb183ffff,1396,837,0
89a88cd84d3ffff,1269,260,1
89a88cda2a7ffff,308,100,0
89a88cda2c3ffff,1382,505,0
89a88cdb1bbffff,1968,457,0
89a88cd9403ffff,2041,242,0
89a88cdb1d7ffff,1374,1109,0
89a88cd943bffff,1352,406,0
89a88cdb20fffff,732,1742,0
89a88cd9457ffff,540,2,0
89a88cdb22bffff,1738,70,0
89a88cda34fffff,196,180,0
89a88cd9473ffff,1128,242,3
89a88cdb247ffff,1391,107,0
89a88cd948fffff,1880,102,0
89a881a5b0bffff,308,875,0
89a88cdb263ffff,1228,184,0
89a88cd94abffff,1527,207,0
89a881a5b27ffff,1435,27,0
89a88cd94c7ffff,1029,419,0
89a881a5b43ffff,172,2711,0
89a88cdb29bffff,1499,70,0
89a88cdb2b7ffff,350,2607,2
89a88cd8607ffff,138,466,0
89a88cda3dbffff,1191,293,0
89a881a5b7bffff,128,2141,0
89a88cdb2d3ffff,1112,49,1
89a88cd8623ffff,422,813,0
89a88cd951bffff,729,521,1
89a88cd9537ffff,432,4090,1
89a88cdb30bffff,1371,339,0
89a88cd865bffff,3137,73,0
89a88cd9553ffff,2112,446,0
89a88cdb327ffff,1829,75,1
89a88cd8677ffff,727,484,0
89a88cd956fffff,1395,294,0
89a88cdb343ffff,1557,1738,0
89a88cd8693ffff,965,349,1
89a88cd958bffff,1744,181,2
89a88cd86afffff,1237,244,0
89a88cd95a7ffff,902,243,2
89a88cdb37bffff,1382,1341,0
89a88cd86cbffff,1267,190,0
89a88cd95c3ffff,1616,177,0
89a88cdb397ffff,2341,1896,0
89a88cdb3b3ffff,399,953,0
89a88cdb3cfffff,405,2505,0
89a88cd9617ffff,1778,207,0
89a88cd9633ffff,1537,88,0
89a88cdb407ffff,2562,437,0
89a88cdb423ffff,1288,68,1
89a88cd8013ffff,238,79,1
89a88cd9687ffff,1330,62,0
89a88cdb45bffff,393,16,0
89a88cd96a3ffff,1219,234,1
89a88cd804bffff,11,0,0
89a88cdb477ffff,2862,136,1
89a88cdb493ffff,282,53,0
89a881acd0fffff,0,0,0
89a88cd8083ffff,1012,35,0
89a88cdb4afffff,986,202,0
89a881acd2bffff,1,0,0
89a88cdb4cbffff,121,12,0
89a88cd80bbffff,1627,48,1
89a88cda60bffff,1322,30,0
89a881acd63ffff,0,0,0
89a881aeb37ffff,10,1,0
89a88cd80d7ffff,782,52,0
89a88cdb503ffff,1821,34,0
89a88cda643ffff,789,11,0
89a88cdb53bffff,1029,318,1
89a88cd9007ffff,1290,13,0
89a881acdb7ffff,1978,21,0
89a88cdb557ffff,810,710,0
89a88cda67bffff,1074,131,2
89a88cd9023ffff,189,845,0
89a881aeba7ffff,12,0,0
89a88cdb573ffff,1411,100,0
89a88cdb58fffff,2416,19,0
89a88cdb5abffff,1213,470,1
89a88cda6cfffff,1225,27,0
89a88cdb5c7ffff,1032,1395,2
89a88cd9093ffff,853,315,1
89a88cd90afffff,815,157,0
89a88cd90cbffff,1168,157,1
89a88cdb61bffff,281,220,0
89a88cd820bffff,249,1064,0
89a88cdb637ffff,1899,587,0
89a88cd8243ffff,690,188,0
89a88cdb66fffff,2995,210,2
89a88cdb68bffff,282,14,0
89a88cd827bffff,318,1530,0
89a88cdb6a7ffff,1820,482,0
89a88cd8297ffff,1464,2419,0
89a88cdb6c3ffff,167,6,0
89a88cd918fffff,1243,183,1
89a88cd82b3ffff,0,0,0
89a88cd82cfffff,1191,403,0
89a88cd91c7ffff,881,72,0
89a88cdb00bffff,899,1985,0
89a88cdb027ffff,1477,3142,0
89a88cdb043ffff,1505,2615,0
89a88cdb07bffff,1567,2793,0
89a88cdb097ffff,1696,942,0
89a881ac913ffff,259,6,0
89a88cdb0b3ffff,888,696,0
89a88cd8403ffff,777,384,0
89a881ac92fffff,1129,99,1
89a88cdb0cfffff,703,6366,0
89a88cd843bffff,345,480,0
89a88cda20fffff,668,177,0
89a881ac967ffff,770,73,0
89a88cdb107ffff,779,450,0
89a88cd8457ffff,1436,622,0
89a88cda22bffff,377,112,1
89a881ac983ffff,661,15,0
89a88cdb123ffff,1991,152,0
89a88cd8473ffff,2159,244,0
89a88cda247ffff,1077,383,0
89a88cd848fffff,1462,64,0
89a88cda263ffff,944,164,0
89a881ac9bbffff,1310,1000,0
89a88cdb15bffff,1225,2517,0
89a88cd84abffff,535,324,1
89a881ac9d7ffff,64,4,0
89a88cdb177ffff,513,301,0
89a88cd84c7ffff,1726,1016,0
89a88cda29bffff,1051,242,1
89a88cdb193ffff,1710,105,0
89a88cdb1afffff,486,451,0
89a88cda2d3ffff,1213,146,0
89a88cdb1cbffff,1832,1030,1
89a88cd9413ffff,1271,64,0
89a88cd942fffff,1995,156,0
89a88cdb203ffff,1237,1313,0
89a88cd944bffff,611,103,1
89a88cda343ffff,439,290,0
89a88cd9467ffff,1,0,0
89a88cdb23bffff,576,4000,0
89a88cd9483ffff,1968,472,0
89a88cdb257ffff,1685,125,0
89a88cdb273ffff,894,342,1
89a88cd94bbffff,1176,575,2
89a881a5b37ffff,1365,88,1
89a88cdb28fffff,1306,1384,0
89a88cd94d7ffff,1449,285,0
89a881a5b53ffff,33,923,0
89a88cdb2abffff,600,6249,0
89a881a5b6fffff,129,93,0
89a88cdb2c7ffff,1856,97,1
89a88cd8617ffff,425,289,1
89a88cd950fffff,1181,188,0
89a88cd8633ffff,302,161,0
89a88cd952bffff,1539,173,1
89a88cd864fffff,1415,63,0
89a88cd9547ffff,1517,210,1
89a88cdb31bffff,113,609,0
89a88cd866bffff,1545,50,0
89a88cd9563ffff,1337,155,0
89a881ae96bffff,17,0,0
89a88cdb337ffff,1331,97,0
89a88cd8687ffff,1195,834,0
89a88cdb353ffff,994,673,0
89a88cd86a3ffff,1273,992,0
89a88cd959bffff,1478,21,0
89a88cdb36fffff,1382,235,1
89a88cd95b7ffff,1022,219,0
89a88cdb38bffff,1191,9295,0
89a88cd86dbffff,288,97,0
89a88cd95d3ffff,1211,310,0
89a88cdb3a7ffff,429,492,1
89a88cdb3c3ffff,263,556,0
89a88cdb417ffff,119,46,0
89a88cdb433ffff,967,166,0
89a88cdb44fffff,2001,672,0
89a88cd9697ffff,1030,58,0
89a88cdb46bffff,1556,1088,0
89a88cd96b3ffff,1083,218,0
89a88cd805bffff,441,868,0
89a88cdb487ffff,573,248,0
89a881acd03ffff,0,0,0
89a88cdb4a3ffff,829,72,0
89a88cd8093ffff,685,225,1
89a881acd3bffff,16,0,0
89a88cdb4dbffff,2,0,0
89a88cd80cbffff,682,28,0
89a881acd73ffff,0,0,0
89a88cdb513ffff,2023,798,0
89a881acd8fffff,0,0,0
89a88cdb52fffff,2207,773,0
89a88cda653ffff,1143,86,1
89a881acdabffff,1511,3,0
89a88cdb54bffff,2638,1060,0
89a88cda66fffff,1036,77,0
89a88cd9017ffff,1547,64,0
89a88cdb567ffff,2253,440,0
89a88cd9033ffff,1194,139,0
89a88cdb583ffff,1569,157,1
89a88cdb5bbffff,1341,212,1
89a88cd9087ffff,2410,81,0
89a88cdb5d7ffff,377,693,0
89a88cd90a3ffff,1248,300,1
89a88cdb60fffff,1164,665,0
89a88cd90dbffff,906,102,0
89a88cdb62bffff,2031,742,0
89a88cd821bffff,246,488,0
89a88cdb647ffff,770,4,0
89a88cd9113ffff,989,19,0
89a88cdb663ffff,1749,283,1
89a88cd8253ffff,800,472,0
89a88cdb69bffff,28,1,0
89a88cd828bffff,1193,175,0
89a88cdb6b7ffff,2243,585,0
89a88cd9183ffff,1515,50,0
89a88cdb6d3ffff,129,112,0
89a88cd82c3ffff,803,168,0
89a88cd91bbffff,1292,86,0
89a88cd91d7ffff,1738,193,0
89a88cdb01bffff,697,4401,0
89a88cdb037ffff,1312,607,1
89a88cdb053ffff,1657,1881,0
89a88cdb06fffff,3137,4044,0
89a88cdb08bffff,1727,415,1
89a881ac907ffff,1267,205,1
89a88cdb0a7ffff,493,2216,0
89a881ac923ffff,1160,181,1
89a88cdb0c3ffff,708,1266,0
