id,population,jobs,schools
89a881ac9b3ffff,1332,124,2
89a88cdb153ffff,475,4059,0
89a88cd84a3ffff,936,538,0
89a88cda277ffff,799,317,0
89a881ac9cfffff,784,32,0
89a88cdb16fffff,1154,1384,0
89a88cda293ffff,930,360,0
89a88cdb18bffff,1049,1634,0
89a88cd84dbffff,1035,263,0
89a88cda2afffff,109,188,1
89a88cdb1a7ffff,336,131,0
89a88cda2cbffff,1846,630,0
89a881a5a6bffff,245,61,0
89a88cdb1c3ffff,971,2028,1
89a88cd940bffff,1760,43,0
89a88cd9427ffff,1448,807,0
89a88cd9443ffff,72,0,0
89a88cdb217ffff,835,4213,0
89a88cdb233ffff,409,2326,0
89a88cd947bffff,1028,221,0
89a88cdb24fffff,1443,286,1
89a88cd9497ffff,1300,1073,0
89a88cdb26bffff,1237,895,0
89a88cd94b3ffff,1391,199,0
89a881a5b2fffff,1371,211,0
89a88cdb287ffff,1508,2077,0
89a88cd94cfffff,416,278,0
89a881a5b4bffff,557,966,0
89a88cdb2a3ffff,354,3901,0
89a881a5b67ffff,149,89,0
89a88cd860fffff,771,247,2
89a88cd9507ffff,1130,178,0
89a88cdb2dbffff,2951,52,1
89a88cd862bffff,496,306,0
89a88cd9523ffff,1312,137,0
89a88cd8647ffff,1510,7,0
89a88cdb313ffff,498,7844,0
89a88cd8663ffff,1308,198,1
89a88cd955bffff,1783,756,0
89a881ae963ffff,18,0,0
89a88cdb32fffff,676,276,2
89a88cd9577ffff,1204,257,1
89a88cdb34bffff,1479,593,0
89a88cd869bffff,1450,916,1
89a88cd9593ffff,1093,356,0
89a88cdb367ffff,1406,145,0
89a88cd86b7ffff,1456,342,0
89a88cd95afffff,984,116,0
89a88cdb383ffff,1549,2653,0
89a88cd86d3ffff,342,585,0
89a88cd95cbffff,1556,46,0
89a88cdb3bbffff,408,1181,1
89a88cdb3d7ffff,833,3019,0
89a88cdb40fffff,2763,1793,0
89a88cdb42bffff,2424,58,0
89a88cd801bffff,81,825,0
89a88cdb447ffff,2014,275,0
89a88cd968fffff,1230,154,0
89a88cdb463ffff,1507,1105,0
89a88cd96abffff,1638,42,0
89a88cd8053ffff,370,351,0
89a88cdb49bffff,307,10,0
89a881acd17ffff,79,0,0
89a88cd808bffff,79,372,0
89a88cdb4b7ffff,436,32,0
89a881acd33ffff,1172,1,0
89a88cdb4d3ffff,168,241,0
89a88cd80c3ffff,529,91,0
89a881acd6bffff,58,0,0
89a88cdb50bffff,1322,848,0
89a88cda62fffff,1741,14,0
89a881acd87ffff,13,0,0
89a88cdb527ffff,1094,401,0
89a88cda64bffff,2185,52,0
89a881acda3ffff,2232,77,1
89a88cdb543ffff,2286,514,0
89a88cda667ffff,997,314,0
89a88cd900fffff,939,85,0
89a88cdb65bffff,0,0,0
89a881acd97ffff,0,0,0
89a88cdb653ffff,0,0,0
89a881acd83ffff,0,0,0
89a88cdb64bffff,270,0,0
89a88cdb693ffff,3,0,0
89a881ae977ffff,4,0,0
89a881ae92bffff,0,0,0
89a88cd82a7ffff,0,0,0
89a881ae93bffff,0,0,0
89a881ae973ffff,0,0,0
89a881ae97bffff,0,0,0
89a881ae9abffff,0,0,0
89a881ae907ffff,0,0,0
89a881ae933ffff,0,0,0
89a881acd1bffff,0,0,0
89a881acd47ffff,0,0,0
89a881acd57ffff,0,0,0
89a881acdc7ffff,0,0,0
89a881aeb33ffff,0,0,0
89a881aeb2bffff,0,0,0
89a881aeb67ffff,0,0,0
89a881aeb23ffff,0,0,0
89a881acd8bffff,0,0,0
89a881acd9bffff,0,0,0
89a88cda35bffff,428,3,0
89a881ae92fffff,12,0,0
89a881ae923ffff,9,0,0
89a881ae9afffff,0,0,0
89a88cd8407ffff,368,32,0
89a881aebafffff,5,0,0
