from_id,to_id,travel_time,population,schools,healthcare
89a901291abffff,89a901291abffff,1,0,0,0
89a901291abffff,89a9012a3cfffff,71,0,0,0
89a901291abffff,89a901295b7ffff,41,0,0,1
89a901291abffff,89a901284a3ffff,57,0,0,0
89a901291abffff,89a9012809bffff,43,0,0,0
89a901291abffff,89a901285cfffff,35,0,0,0
89a901291abffff,89a90e934d7ffff,60,0,1,0
89a901291abffff,89a90129b47ffff,58,0,0,0
89a901291abffff,89a90128a1bffff,54,0,1,0
89a901291abffff,89a90129977ffff,43,0,0,0
89a901291abffff,89a90128e27ffff,42,0,0,0
89a901291abffff,89a9012a2a3ffff,74,0,0,0
89a901291abffff,89a9012b3b7ffff,72,0,0,0
89a901291abffff,89a901281dbffff,43,0,0,0
89a901291abffff,89a90e9341bffff,63,0,0,0
89a901291abffff,89a901290b7ffff,32,0,0,0
89a901291abffff,89a90128363ffff,44,0,0,0
89a901291abffff,89a9012a39bffff,57,0,0,0
89a901291abffff,89a901280cfffff,35,0,0,0
89a901291abffff,89a9012a237ffff,80,0,0,0
89a901291abffff,89a90129a03ffff,45,0,0,0
89a901291abffff,89a90129907ffff,49,0,1,0
89a901291abffff,89a90e9244bffff,55,0,0,0
89a901291abffff,89a90129a73ffff,52,0,0,0
89a901291abffff,89a90128ad7ffff,54,0,0,0
89a901291abffff,89a9012b133ffff,55,0,0,0
89a901291abffff,89a90129157ffff,23,0,0,0
89a901291abffff,89a9012852bffff,57,0,0,1
89a901291abffff,89a901286dbffff,73,0,0,0
89a901291abffff,89a9012a32bffff,42,0,0,0
89a901291abffff,89a90128c6bffff,50,0,0,0
89a901291abffff,89a9012834bffff,36,0,0,0
89a901291abffff,89a9012b383ffff,76,0,0,0
89a901291abffff,89a90128187ffff,52,0,0,0
89a901291abffff,89a9012a163ffff,51,0,0,0
89a901291abffff,89a90129833ffff,42,0,1,0
89a901291abffff,89a9012859bffff,40,0,0,0
89a901291abffff,89a90e9348bffff,66,0,0,0
89a901291abffff,89a9012956bffff,27,0,0,0
89a901291abffff,89a9012aa83ffff,58,0,0,0
89a901291abffff,89a90129bb3ffff,45,0,0,0
89a901291abffff,89a9012aecbffff,49,0,1,1
